sexo,escol,Tam_loc,agg_authoritarian_predisposition,agg_democratic_legitimacy_support,agg_institutional_trust_and_electoral_confidence,agg_perceived_political_influence_of_actors,agg_political_efficacy_and_engagement
1.0,1.0,1.0,1.6428571428571428,1.5806451612903225,2.875,10.0,4.078947368421053
1.0,2.0,1.0,1.8571428571428572,3.032258064516129,3.625,9.196428571428573,3.8421052631578947
2.0,3.0,1.0,4.214285714285714,3.3225806451612905,4.0,9.035714285714285,3.1315789473684212
2.0,3.0,4.0,1.4285714285714284,2.741935483870968,3.25,9.035714285714285,2.8947368421052637
1.0,3.0,4.0,1.8571428571428572,2.741935483870968,2.875,7.9107142857142865,1.9473684210526319
1.0,3.0,2.0,1.6428571428571428,2.161290322580645,2.125,8.071428571428571,2.8947368421052637
1.0,2.0,1.0,2.5,3.032258064516129,3.625,9.035714285714285,2.8947368421052637
1.0,3.0,1.0,2.2857142857142856,2.4516129032258065,2.125,9.678571428571427,4.552631578947368
2.0,3.0,3.0,2.2857142857142856,1.5806451612903225,2.875,9.357142857142858,3.605263157894737
1.0,4.0,4.0,1.6428571428571428,3.903225806451613,3.625,9.357142857142858,5.026315789473684
1.0,5.0,3.0,2.2857142857142856,2.741935483870968,2.5,9.517857142857142,2.1842105263157894
1.0,3.0,2.0,1.2142857142857144,2.741935483870968,2.875,9.517857142857142,2.4210526315789473
2.0,3.0,2.0,2.7142857142857144,2.741935483870968,2.125,9.035714285714285,3.1315789473684212
