sexo,escol,Tam_loc,agg_judicial_institutional_trust,agg_law_compliance_motivation,agg_legal_cynicism_extrajudicial_justice,agg_police_trust_and_legitimacy
1.0,4.0,1.0,2.875,5.235294117647059,1.9,1.0
2.0,3.0,4.0,4.1875,5.764705882352941,4.825,2.125
1.0,1.0,4.0,,5.764705882352941,5.05,2.125
2.0,3.0,4.0,7.5625,6.823529411764706,3.6999999999999997,2.125
2.0,1.0,4.0,5.875,6.294117647058823,6.3999999999999995,4.375
1.0,3.0,4.0,3.625,2.5882352941176467,1.9,4.375
1.0,3.0,4.0,1.9375,6.823529411764706,3.25,2.125
2.0,3.0,4.0,3.25,7.352941176470588,3.025,1.0
2.0,2.0,4.0,2.3125,5.235294117647059,3.25,2.125
2.0,3.0,4.0,3.4375,6.823529411764706,6.3999999999999995,8.875
1.0,3.0,4.0,2.3125,5.235294117647059,3.25,2.125
1.0,2.0,4.0,,6.823529411764706,5.7250000000000005,3.25
2.0,2.0,4.0,4.9375,5.764705882352941,3.9250000000000003,2.125
2.0,2.0,4.0,,5.764705882352941,3.9250000000000003,2.125
2.0,2.0,4.0,,4.705882352941177,2.575,4.375
1.0,2.0,4.0,3.0625,5.235294117647059,3.25,3.25
1.0,2.0,4.0,9.25,,9.549999999999999,8.875
2.0,2.0,4.0,,,8.649999999999999,10.0
2.0,2.0,4.0,9.8125,,10.0,10.0
2.0,1.0,4.0,9.4375,,9.549999999999999,8.875
1.0,3.0,4.0,3.0625,5.235294117647059,2.575,2.125
2.0,3.0,4.0,2.3125,6.823529411764706,2.35,1.0
2.0,4.0,4.0,,5.764705882352941,2.8,3.25
2.0,4.0,4.0,3.625,6.294117647058823,2.8,2.125
1.0,2.0,4.0,3.625,3.6470588235294117,2.125,4.375
2.0,1.0,4.0,,5.764705882352941,3.25,4.375
1.0,3.0,4.0,3.8125,4.1764705882352935,4.375,4.375
2.0,4.0,4.0,2.875,5.235294117647059,4.15,4.375
1.0,4.0,4.0,3.4375,5.235294117647059,2.35,2.125
2.0,4.0,4.0,,7.352941176470588,2.8,2.125
2.0,1.0,4.0,3.25,7.352941176470588,3.9250000000000003,1.0
2.0,3.0,2.0,2.3125,7.352941176470588,2.35,1.0
1.0,2.0,2.0,2.3125,6.294117647058823,1.9,1.0
1.0,1.0,2.0,1.75,7.352941176470588,2.575,1.0
2.0,3.0,2.0,,5.764705882352941,2.125,2.125
1.0,3.0,2.0,2.125,5.764705882352941,1.9,2.125
2.0,3.0,2.0,1.9375,5.235294117647059,1.9,2.125
1.0,4.0,2.0,1.9375,7.882352941176471,1.9,1.0
2.0,3.0,2.0,,5.764705882352941,2.35,1.0
2.0,4.0,2.0,2.5,7.352941176470588,2.125,2.125
1.0,3.0,2.0,2.5,5.764705882352941,2.35,2.125
2.0,4.0,2.0,1.9375,5.764705882352941,2.575,2.125
1.0,3.0,2.0,2.3125,6.294117647058823,3.9250000000000003,2.125
1.0,2.0,2.0,,5.235294117647059,2.8,1.0
2.0,1.0,2.0,,5.764705882352941,2.8,1.0
2.0,3.0,2.0,,5.235294117647059,1.675,1.0
1.0,4.0,2.0,1.9375,5.235294117647059,1.9,3.25
2.0,2.0,2.0,2.5,5.235294117647059,1.9,3.25
2.0,3.0,2.0,1.75,5.235294117647059,1.9,2.125
2.0,3.0,2.0,,7.352941176470588,2.575,2.125
1.0,3.0,2.0,,5.235294117647059,2.35,2.125
