sexo,escol,Tam_loc,agg_fiscal_and_service_federalism_preferences,agg_legal_uniformity_preference,agg_perceived_representativeness,agg_political_interest_and_engagement,agg_security_governance_preferences
1.0,5.0,1.0,2.883720930232559,1.0,6.142857142857142,5.235294117647059,2.40625
2.0,9.0,1.0,3.302325581395349,1.0,6.142857142857142,5.764705882352941,2.40625
1.0,5.0,1.0,1.8372093023255813,1.0,7.428571428571428,5.235294117647059,3.25
2.0,4.0,4.0,2.883720930232559,1.0,6.999999999999999,8.411764705882351,1.5625
2.0,3.0,2.0,6.232558139534883,1.0,6.142857142857142,6.8235294117647065,3.8125
1.0,2.0,2.0,3.9302325581395348,1.0,6.785714285714285,6.294117647058824,1.84375
1.0,3.0,2.0,4.9767441860465125,1.0,6.142857142857142,7.882352941176473,1.84375
2.0,1.0,2.0,6.86046511627907,1.0,6.142857142857142,6.294117647058824,7.1875
1.0,1.0,1.0,6.86046511627907,8.875,1.0,4.1764705882352935,7.46875
2.0,1.0,1.0,5.604651162790697,2.125,1.0,8.941176470588236,1.84375
2.0,2.0,1.0,3.302325581395349,7.75,6.142857142857142,9.470588235294116,3.25
2.0,2.0,1.0,5.186046511627907,1.375,6.142857142857142,5.764705882352941,3.8125
2.0,2.0,1.0,9.372093023255815,8.875,6.142857142857142,6.8235294117647065,8.875
2.0,2.0,1.0,8.325581395348838,8.875,7.428571428571428,6.294117647058824,8.875
1.0,3.0,1.0,4.348837209302325,8.875,6.142857142857142,4.1764705882352935,8.875
1.0,4.0,1.0,2.4651162790697674,1.75,8.5,8.411764705882351,2.96875
2.0,3.0,1.0,3.7209302325581395,2.125,8.714285714285714,8.941176470588236,2.6875
1.0,4.0,1.0,3.7209302325581395,1.1875,9.785714285714285,8.411764705882351,3.25
2.0,2.0,1.0,3.7209302325581395,5.5,6.142857142857142,5.764705882352941,2.96875
1.0,4.0,2.0,3.7209302325581395,1.5625,6.999999999999999,8.941176470588236,3.53125
1.0,1.0,2.0,4.1395348837209305,1.5625,7.642857142857142,7.352941176470588,5.5
1.0,3.0,2.0,3.9302325581395348,1.375,8.285714285714285,8.411764705882351,2.40625
1.0,3.0,2.0,3.9302325581395348,1.0,8.285714285714285,8.411764705882351,2.40625
1.0,2.0,3.0,3.9302325581395348,2.5,7.642857142857142,6.8235294117647065,3.25
1.0,1.0,3.0,5.395348837209303,1.0,7.428571428571428,8.411764705882351,3.8125
2.0,2.0,3.0,5.395348837209303,1.0,7.428571428571428,6.8235294117647065,2.6875
2.0,1.0,3.0,5.186046511627907,1.0,7.857142857142858,7.882352941176473,2.96875
2.0,2.0,3.0,4.1395348837209305,1.375,6.142857142857142,6.8235294117647065,2.125
2.0,3.0,1.0,3.511627906976744,1.0,9.357142857142858,8.411764705882351,2.96875
2.0,4.0,1.0,2.4651162790697674,1.0,6.142857142857142,8.411764705882351,2.125
2.0,5.0,1.0,4.767441860465116,1.0,6.142857142857142,8.411764705882351,4.09375
1.0,3.0,1.0,2.4651162790697674,1.0,6.142857142857142,7.352941176470588,2.40625
2.0,2.0,1.0,2.883720930232559,1.0,6.571428571428572,8.411764705882351,3.53125
1.0,3.0,1.0,2.883720930232559,2.125,6.142857142857142,5.764705882352941,4.09375
1.0,3.0,1.0,3.511627906976744,1.1875,8.5,8.411764705882351,4.09375
2.0,1.0,1.0,3.511627906976744,1.0,8.5,8.411764705882351,4.65625
2.0,1.0,1.0,2.674418604651163,1.0,7.857142857142858,5.764705882352941,1.84375
1.0,3.0,1.0,6.44186046511628,1.0,6.142857142857142,6.294117647058824,2.96875
2.0,3.0,1.0,3.0930232558139537,1.0,6.142857142857142,5.764705882352941,3.53125
1.0,3.0,1.0,5.395348837209303,1.0,6.142857142857142,6.294117647058824,8.03125
1.0,2.0,1.0,3.9302325581395348,1.0,6.142857142857142,5.764705882352941,2.96875
1.0,1.0,1.0,4.1395348837209305,1.0,7.428571428571428,7.352941176470588,8.03125
1.0,4.0,1.0,4.558139534883722,1.0,7.428571428571428,7.882352941176473,4.9375
2.0,3.0,3.0,3.7209302325581395,1.375,7.428571428571428,8.411764705882351,3.25
2.0,2.0,3.0,4.558139534883722,1.9375,6.142857142857142,5.764705882352941,5.21875
1.0,4.0,3.0,3.7209302325581395,1.1875,7.214285714285714,6.294117647058824,2.40625
1.0,2.0,3.0,5.395348837209303,1.0,1.0,3.6470588235294117,6.34375
1.0,2.0,3.0,3.7209302325581395,2.125,7.428571428571428,5.764705882352941,2.6875
1.0,2.0,4.0,2.883720930232559,1.1875,6.142857142857142,6.294117647058824,2.96875
1.0,3.0,4.0,3.302325581395349,1.0,6.142857142857142,8.411764705882351,1.5625
2.0,3.0,4.0,5.813953488372093,1.0,6.142857142857142,5.235294117647059,2.96875
2.0,1.0,4.0,3.9302325581395348,1.375,6.142857142857142,7.882352941176473,2.96875
2.0,3.0,4.0,3.511627906976744,1.0,6.142857142857142,9.470588235294116,2.6875
2.0,2.0,4.0,4.348837209302325,1.0,9.142857142857142,7.882352941176473,2.96875
2.0,2.0,4.0,2.674418604651163,1.0,6.142857142857142,7.882352941176473,2.96875
1.0,2.0,4.0,3.302325581395349,1.9375,7.428571428571428,7.882352941176473,1.28125
1.0,1.0,4.0,4.9767441860465125,2.125,8.285714285714285,9.470588235294116,1.5625
1.0,1.0,4.0,3.9302325581395348,2.6875,6.785714285714285,7.352941176470588,2.96875
2.0,3.0,4.0,3.302325581395349,1.5625,6.785714285714285,7.882352941176473,3.8125
