country,AND,ARG,AUS,BFA,BGR,BRA,CAN,CHL,CHN,CYP,DEU,EGY,ETH,FRA,GBR,GEO,GHA,GTM,HUN,IDN,IND,IRN,IRQ,ITA,MAR,MDA,MEX,MLI,MYS,NOR,POL,ROU,RWA,SRB,SVN,SWE,THA,TTO,TWN,URY,USA,VNM,ZMB
IND,0.22487848821847323,0.1775362374610309,0.26749112762242255,0.13194984848112126,0.17600045714063584,0.24396800735089708,0.1857193324306924,0.2466986234973957,0.13272533703329614,0.15343060850662857,0.35092137415385966,0.2230086238159315,0.28185795675231073,0.2537882595449727,0.23815906612942533,0.26840858133586387,0.22446794648053917,0.17378720003759945,0.24425807122615484,0.15577081217160818,0.0,0.20114835148350046,0.4716338289641016,0.3226507148109396,0.21487297561523036,0.2237480950214621,0.32384281655394453,0.11782853201012929,0.16285075239982333,0.24051395403558987,0.34398642813646846,0.38589992478869756,0.19084151628435414,0.1631847115250365,0.3161527022691417,0.18848509491320786,0.33106839915050695,0.17815080330307873,0.2546846284268811,0.11574450137283154,0.16011368458122538,0.16878770085222358,0.15218977984680349
IRN,0.17671469063465195,0.12948258293267123,0.19080401074746048,0.21259693651019027,0.1686119314414595,0.17681320227423536,0.19257621245093395,0.19865315590184235,0.19803854043985017,0.20916530214023712,0.2655085354962269,0.24094867112221252,0.20587705453385755,0.15321997814383864,0.1774773993042717,0.19478403810029188,0.2543360340925939,0.19688324181902345,0.1809149997250112,0.1740495732414108,0.20114835148350046,0.0,0.34904283255736007,0.28142037336586817,0.15350768140099247,0.23767205364583371,0.2604424779358812,0.18011651774055204,0.20769696891346504,0.18789880242579404,0.24307005212906435,0.27639104730832803,0.13879670420503337,0.09950658997389933,0.2608582414466622,0.15322037156277932,0.2163674115523892,0.20735203979096287,0.21364786912050998,0.1379871407702185,0.1701596919083263,0.24935761820377422,0.15090433422462615
IRQ,0.4937117240453367,0.43236871296927243,0.46864684454116107,0.532480618830599,0.4904327334350767,0.4571292072038872,0.5188489589554803,0.5234514276397177,0.4346994827969782,0.5291037109180361,0.5282939562474961,0.5623476897281946,0.39054085421959606,0.4564612121643915,0.469141097152992,0.47576641801417124,0.45628335441170054,0.5344462418650481,0.48079516562075775,0.45028212189945455,0.4716338289641016,0.34904283255736007,0.0,0.5826614481158556,0.3485586140890369,0.5664186583101958,0.5248080300268189,0.4825671029117952,0.5059891182448677,0.48572303574960574,0.4736895207242238,0.46699054980147914,0.433906135675685,0.3827539805812371,0.546150284096629,0.45415667112673136,0.36732245926008544,0.5081897708157832,0.5284101124854097,0.40959760623364866,0.4596126756954156,0.5720311237256793,0.4397732515637075
ITA,0.19604332526040424,0.2212258036417332,0.20433059548087068,0.2758570275517809,0.18441880964009794,0.25362614220282953,0.1872885381057174,0.16622998495545235,0.34487405962754136,0.24372612758998177,0.11921197930175241,0.2166443677582504,0.264599289535093,0.16505344076997278,0.23541139769930447,0.17410505948813354,0.4479128968279837,0.23509218817998395,0.18015541067619803,0.30319109961969987,0.3226507148109396,0.28142037336586817,0.5826614481158556,0.0,0.3586074465904174,0.12543119258668545,0.12854172808500494,0.3120833750944462,0.2586996737678987,0.15424065378467364,0.16643660032755928,0.2022407307588635,0.19792269721841438,0.27593807055085434,0.09069966056462352,0.2132744232161062,0.2725623307838207,0.2523397945337714,0.1792892248210759,0.3109491582435188,0.30573865484511553,0.2822831368529646,0.25942297594929364
MAR,0.26021551695295053,0.16855109567361856,0.211416926956914,0.22374327513483513,0.21511270993551815,0.16092737907655025,0.2513247887997995,0.2626123447906522,0.21546140291454086,0.23029192480967203,0.33494881755951467,0.24958055371165402,0.26834436270774903,0.24062763652224414,0.18121448310875116,0.2331263552197295,0.18573824810281217,0.25923366084744637,0.2415095371618041,0.13618175946057323,0.21487297561523036,0.15350768140099247,0.3485586140890369,0.3586074465904174,0.0,0.2965241057086482,0.33592256474937565,0.21341215653228632,0.2175694580307462,0.23419297339326273,0.3208109138709031,0.3501603907412126,0.2143744298051259,0.1274225813739492,0.3250025695436455,0.17868165028981034,0.27394585678909394,0.1939641623093648,0.2386750683191589,0.1641058392758822,0.14938331236855035,0.261578582729705,0.1727504661268624
MDA,0.15359946277824288,0.15861135163631535,0.17750840194259704,0.16549113275405597,0.10525595567508755,0.20162312027424442,0.09656970529375061,0.12082859979715217,0.25458652024773204,0.1348180345680863,0.19355239464365198,0.12648905289137022,0.25827224148554595,0.1593476481246966,0.17931588003861507,0.15926841555843044,0.35730202462574495,0.1500007128718216,0.15346875692193898,0.21488087011265394,0.2237480950214621,0.23767205364583371,0.5664186583101958,0.12543119258668545,0.2965241057086482,0.0,0.17527699820400475,0.2222374195445574,0.16460423696803358,0.12824086962213543,0.2248289660143676,0.2711300305561028,0.15336600374370607,0.21001742181789823,0.1423234067527245,0.1544412363805462,0.28924775225800964,0.15763427756143633,0.1380792029978203,0.2292756318064162,0.21478038196233107,0.1714314629816223,0.1754499069941328
MEX,0.21402249076897695,0.1944253191300062,0.18067728308831205,0.29968806007264454,0.18468663920056866,0.24427535057224378,0.19656301089062492,0.19249149383355782,0.3156989462636965,0.2453096050284352,0.1299488905027923,0.2545972841507502,0.17256801983134004,0.14281799167052076,0.21752981995725526,0.13644183781023972,0.451420673682977,0.2825430462954026,0.16512717366521334,0.2865988382913806,0.32384281655394453,0.2604424779358812,0.5248080300268189,0.12854172808500494,0.33592256474937565,0.17527699820400475,0.0,0.32692301951381336,0.23702310500319712,0.12922646646070732,0.11479645000797395,0.1325988664694832,0.17099741639020838,0.2434142042671671,0.09916557349150248,0.195160551517579,0.18483784682737966,0.26227255362632307,0.22896978712066007,0.2893149197498242,0.30005927154044,0.30449741900932425,0.23389156017517648
MLI,0.18695460547153048,0.18149909042793577,0.25249759808032746,0.12141691145289311,0.16370875427965165,0.21905142723448906,0.17456950328761678,0.21043768198669713,0.18175646008186672,0.14786781318883985,0.33425102609813234,0.20617744754022088,0.30655596142211095,0.23127308219514728,0.21959791344464064,0.26072046195561116,0.19615701543817302,0.1280782175262499,0.22221817047722744,0.15592325006805388,0.11782853201012929,0.18011651774055204,0.4825671029117952,0.3120833750944462,0.21341215653228632,0.2222374195445574,0.32692301951381336,0.0,0.16591733336749548,0.2311334648818479,0.3369310627367123,0.38770746625925356,0.19698661495678477,0.1711901728850836,0.30926842651956826,0.17373061384185362,0.3444213220637454,0.17666091647445106,0.22419140470399396,0.12332674246067567,0.14594646533531525,0.14139795384875756,0.17123108047920046
MYS,0.18475424532592535,0.11992242218363144,0.1789210415632135,0.1329627515616081,0.10434605954289347,0.16028221733844594,0.13024837768259,0.1746417673109435,0.1732498851581346,0.07434048020687212,0.2761342512775094,0.15210064246297503,0.2357727516651603,0.18840521694231183,0.14100669976450503,0.16718402498740437,0.26369592166982686,0.18226078586857275,0.16483059815878415,0.10420698003551991,0.16285075239982333,0.20769696891346504,0.5059891182448677,0.2586996737678987,0.2175694580307462,0.16460423696803358,0.23702310500319712,0.16591733336749548,0.0,0.15012274964410274,0.2749331899759503,0.32075208135396494,0.14770545748027325,0.1469184704685615,0.23474719739076508,0.11644633420844418,0.2781064491833087,0.12235997315308746,0.19290225859849935,0.1472014027137789,0.12119119936870135,0.12912025241185243,0.10969972673311504
NOR,0.13719889427676338,0.11862121900573012,0.08085140088566374,0.2082099866319154,0.08679186031102876,0.1301163611156567,0.11593060694557114,0.11372608631587743,0.2441916663244355,0.15722672327494555,0.1385367821158342,0.17053915204401862,0.17543082762308032,0.10297216056721736,0.12813358199078684,0.07209786859745224,0.34114031787254945,0.20075359405314075,0.0723334712611211,0.18707885830669932,0.24051395403558987,0.18789880242579404,0.48572303574960574,0.15424065378467364,0.23419297339326273,0.12824086962213543,0.12922646646070732,0.2311334648818479,0.15012274964410274,0.0,0.14391159025056313,0.19242024488097836,0.11006566613501284,0.16462741924724494,0.10426919381263851,0.08630082160765991,0.19496474985865203,0.15391955525464276,0.14076933476422648,0.1973804651018249,0.19517576349916493,0.20681762302488318,0.14276584079294752
POL,0.19452914002658805,0.2205191484402379,0.17413337061804407,0.33343767738241575,0.20970113118622646,0.24047743507109312,0.22611557562420506,0.19845874631659727,0.33552548201124105,0.2867646474918577,0.08370960271787119,0.2941640719143905,0.16342688180999196,0.14279302072649117,0.2350319824805642,0.15764831361329637,0.4435976083420855,0.29929463516858384,0.14689618824354497,0.30768557940068914,0.34398642813646846,0.24307005212906435,0.4736895207242238,0.16643660032755928,0.3208109138709031,0.2248289660143676,0.11479645000797395,0.3369310627367123,0.2749331899759503,0.14391159025056313,0.0,0.08814388844595032,0.17945561287825149,0.2551213843219156,0.11669759967562389,0.19747988290041052,0.15921311809443828,0.2851695420497388,0.2408274766685018,0.29380108243802394,0.31333043668544963,0.33757889170035776,0.2520342274675009
ROU,0.26741876627558625,0.2546169671381042,0.21593713839974932,0.3817103860672646,0.2588310372046856,0.27777169110732586,0.2788480646283226,0.2634610018937038,0.36744295354375806,0.3359118108974883,0.13724494740150298,0.33682530945737305,0.17043135890961947,0.1975977035176573,0.27782740951847357,0.18639159063204813,0.4934341488943693,0.354653624988928,0.21274551619616863,0.3450372986195322,0.38589992478869756,0.27639104730832803,0.46699054980147914,0.2022407307588635,0.3501603907412126,0.2711300305561028,0.1325988664694832,0.38770746625925356,0.32075208135396494,0.19242024488097836,0.08814388844595032,0.0,0.21554862826276422,0.28559784880742844,0.16042235183279452,0.2508164070076714,0.1344967622516226,0.3264413779453935,0.2841884389607943,0.3313458048355268,0.35868566377578803,0.39174156869439336,0.2857203700299594
RWA,0.147081721289001,0.10330322395302512,0.15987482232536068,0.19945271999807776,0.10330678544820633,0.16907605777948295,0.137716402463143,0.16750218921246443,0.183947792420978,0.16357507535457602,0.19918559201910843,0.1996913753585255,0.14173175884191855,0.13028416443114652,0.16790791507189437,0.13336541003496669,0.3146302420414985,0.18707039564217226,0.12321927938508669,0.1656685577709497,0.19084151628435414,0.13879670420503337,0.433906135675685,0.19792269721841438,0.2143744298051259,0.15336600374370607,0.17099741639020838,0.19698661495678477,0.14770545748027325,0.11006566613501284,0.17945561287825149,0.21554862826276422,0.0,0.12385929747623224,0.17658341589462898,0.11179139372598768,0.17545185868278035,0.1750471667091508,0.188436786156883,0.13801495647294099,0.18706937015131764,0.21869953318565827,0.1054338890692626
SRB,0.1954432983171958,0.07051083765584805,0.17153692116137476,0.1725347563161717,0.1363081067501354,0.1546315819591275,0.16815681036237817,0.19558748258383377,0.1571023146578157,0.15767220853742753,0.2746091618444225,0.19936145847325398,0.19166906858392516,0.1598978901912349,0.1356570306702805,0.17029805646808277,0.24120741558096165,0.20092297087030275,0.18279314400338106,0.10695360294023118,0.1631847115250365,0.09950658997389933,0.3827539805812371,0.27593807055085434,0.1274225813739492,0.21001742181789823,0.2434142042671671,0.1711901728850836,0.1469184704685615,0.16462741924724494,0.2551213843219156,0.28559784880742844,0.12385929747623224,0.0,0.25190663859886725,0.1190862462860927,0.2145623910121524,0.15940602371833737,0.2008156113889466,0.11524232565365138,0.12897771319967283,0.2144654938127879,0.10329755422986678
SVN,0.17726761784511189,0.20240666840292718,0.14315211580303405,0.2791534762727026,0.1637733019010226,0.21005690868065593,0.16982477490627715,0.1468025881883963,0.3226441219115242,0.23142181346786517,0.07633725773694071,0.22122835052752116,0.2175488752974569,0.14553891321018725,0.20586622355005146,0.13066066196431164,0.4313673666016697,0.25315939376248064,0.12965319241800247,0.28094435139106655,0.3161527022691417,0.2608582414466622,0.546150284096629,0.09069966056462352,0.3250025695436455,0.1423234067527245,0.09916557349150248,0.30926842651956826,0.23474719739076508,0.10426919381263851,0.11669759967562389,0.16042235183279452,0.17658341589462898,0.25190663859886725,0.0,0.17921117775802567,0.22300125641691546,0.2281170237227516,0.1796500720630724,0.2864104936658405,0.28171733673777144,0.2728871368390147,0.22731396792926936
